ID,Type,Price,Quantity,Timestamp
66,C,90.51,290,2026-06-23 20:42:09
67,V,61.28,850,2026-06-23 20:42:13
68,C,18.0,610,2026-06-23 20:42:14
69,C,55.86,120,2026-06-23 20:42:16
70,V,46.72,150,2026-06-23 20:42:20
71,V,96.72,670,2026-06-23 20:42:22
72,V,44.47,290,2026-06-23 20:42:24
73,V,43.93,80,2026-06-23 20:42:25
74,C,99.06,170,2026-06-23 20:42:28
75,V,21.64,120,2026-06-23 20:42:31
76,V,31.53,540,2026-06-23 20:42:34
77,V,76.88,740,2026-06-23 20:42:36
78,C,84.38,830,2026-06-23 20:42:37
79,C,58.69,390,2026-06-23 20:42:42
80,C,46.11,660,2026-06-23 20:42:44
81,V,85.64,390,2026-06-23 20:42:49
82,C,43.57,850,2026-06-23 20:42:53
83,V,22.83,270,2026-06-23 20:42:54
84,C,63.8,230,2026-06-23 20:42:57
85,C,43.96,770,2026-06-23 20:43:02
86,V,18.42,920,2026-06-23 20:43:04
87,V,95.38,960,2026-06-23 20:43:08
88,C,61.33,820,2026-06-23 20:43:10
89,C,73.44,690,2026-06-23 20:43:15
90,C,52.4,710,2026-06-23 20:43:16
91,C,75.83,720,2026-06-23 20:43:18
92,V,59.94,640,2026-06-23 20:43:22
93,C,62.44,120,2026-06-23 20:43:27
94,C,71.92,840,2026-06-23 20:43:29
95,C,69.21,820,2026-06-23 20:43:34
96,V,30.62,90,2026-06-23 20:43:38
97,V,85.99,500,2026-06-23 20:43:42
98,V,56.36,100,2026-06-23 20:43:45
99,V,71.34,130,2026-06-23 20:43:50
100,C,58.16,510,2026-06-23 20:43:53
101,C,99.11,390,2026-06-23 20:43:58
102,C,76.84,290,2026-06-23 20:44:00
103,V,17.15,860,2026-06-23 20:44:04
104,V,38.91,510,2026-06-23 20:44:09
105,C,17.58,770,2026-06-23 20:44:13
106,V,39.76,590,2026-06-23 20:44:16
107,V,51.64,30,2026-06-23 20:44:18
108,C,57.89,400,2026-06-23 20:44:20
109,V,96.06,190,2026-06-23 20:44:22
110,V,32.59,320,2026-06-23 20:44:23
111,C,18.45,340,2026-06-23 20:44:25
112,C,17.21,650,2026-06-23 20:44:28
113,V,36.26,660,2026-06-23 20:44:30
114,C,69.63,100,2026-06-23 20:44:32
115,V,97.69,520,2026-06-23 20:44:37
116,C,18.38,460,2026-06-23 20:44:40
117,V,45.75,330,2026-06-23 20:44:42
118,C,53.23,470,2026-06-23 20:44:45
119,C,78.12,770,2026-06-23 20:44:47
120,C,14.91,210,2026-06-23 20:44:51
121,V,94.43,930,2026-06-23 20:44:55
122,C,65.84,300,2026-06-23 20:44:56
123,C,26.19,480,2026-06-23 20:44:59
124,C,40.02,730,2026-06-23 20:45:04
125,V,99.42,270,2026-06-23 20:45:09
126,V,72.65,170,2026-06-23 20:45:14
127,V,89.02,770,2026-06-23 20:45:17
128,C,67.21,710,2026-06-23 20:45:19
129,V,93.36,50,2026-06-23 20:45:23
130,V,99.3,800,2026-06-23 20:45:26
131,C,90.54,540,2026-06-23 20:45:29
132,C,81.64,590,2026-06-23 20:45:33
133,C,24.85,280,2026-06-23 20:45:38
134,V,86.88,400,2026-06-23 20:45:39
135,V,11.78,30,2026-06-23 20:45:42
136,V,81.32,130,2026-06-23 20:45:43
137,V,19.25,550,2026-06-23 20:45:46
138,V,76.21,390,2026-06-23 20:45:50
139,C,90.15,370,2026-06-23 20:45:52
140,V,13.78,490,2026-06-23 20:45:54
141,V,70.11,650,2026-06-23 20:45:55
142,C,10.52,210,2026-06-23 20:46:00
143,C,18.91,360,2026-06-23 20:46:02
144,C,86.84,590,2026-06-23 20:46:04
145,V,11.32,70,2026-06-23 20:46:05
146,C,94.01,170,2026-06-23 20:46:06
147,V,19.31,620,2026-06-23 20:46:07
148,C,86.12,530,2026-06-23 20:46:08
149,V,34.31,260,2026-06-23 20:46:09
150,V,17.19,310,2026-06-23 20:46:12
151,V,26.45,650,2026-06-23 20:46:16
152,C,22.39,850,2026-06-23 20:46:21
153,V,39.3,30,2026-06-23 20:46:26
154,V,78.52,440,2026-06-23 20:46:30
155,C,24.91,360,2026-06-23 20:46:34
156,C,79.47,940,2026-06-23 20:46:38
157,C,87.59,1000,2026-06-23 20:46:43
158,V,73.61,720,2026-06-23 20:46:45
159,C,22.57,930,2026-06-23 20:46:50
160,C,37.43,420,2026-06-23 20:46:51
161,V,89.17,990,2026-06-23 20:46:55
162,C,78.12,360,2026-06-23 20:47:00
163,V,73.65,340,2026-06-23 20:47:05
164,C,93.62,450,2026-06-23 20:47:10
165,V,56.74,70,2026-06-23 20:47:13
166,V,62.15,150,2026-06-23 20:47:17
167,V,53.04,610,2026-06-23 20:47:18
168,V,42.99,350,2026-06-23 20:47:19
169,C,62.81,220,2026-06-23 20:47:22
170,C,56.28,390,2026-06-23 20:47:23
171,V,63.98,800,2026-06-23 20:47:24
172,C,27.59,990,2026-06-23 20:47:27
173,V,94.89,400,2026-06-23 20:47:32
174,C,42.0,440,2026-06-23 20:47:33
175,V,38.72,910,2026-06-23 20:47:38
176,V,94.72,850,2026-06-23 20:47:41
177,C,77.94,470,2026-06-23 20:47:44
178,V,75.17,720,2026-06-23 20:47:48
179,C,38.66,870,2026-06-23 20:47:49
180,V,61.3,460,2026-06-23 20:47:51
181,C,61.08,550,2026-06-23 20:47:54
182,V,45.24,420,2026-06-23 20:47:56
183,V,63.0,140,2026-06-23 20:47:58
184,C,93.52,930,2026-06-23 20:47:59
185,C,53.7,280,2026-06-23 20:48:02
186,C,46.49,920,2026-06-23 20:48:07
187,V,62.03,630,2026-06-23 20:48:10
188,V,36.61,880,2026-06-23 20:48:12
189,V,47.98,90,2026-06-23 20:48:14
190,C,22.77,620,2026-06-23 20:48:18
191,V,73.8,790,2026-06-23 20:48:22
192,C,57.46,60,2026-06-23 20:48:26
193,V,76.72,460,2026-06-23 20:48:27
194,C,47.7,760,2026-06-23 20:48:30
195,V,54.05,890,2026-06-23 20:48:33
196,C,86.61,700,2026-06-23 20:48:38
197,V,89.61,100,2026-06-23 20:48:40
198,V,53.07,40,2026-06-23 20:48:43
199,V,90.81,520,2026-06-23 20:48:46
200,V,32.32,720,2026-06-23 20:48:50
201,V,33.72,800,2026-06-23 20:48:54
202,C,55.07,590,2026-06-23 20:48:57
203,V,39.6,370,2026-06-23 20:49:01
204,V,29.6,420,2026-06-23 20:49:05
205,V,10.07,590,2026-06-23 20:49:06
206,V,40.98,730,2026-06-23 20:49:07
207,C,47.47,400,2026-06-23 20:49:11
208,C,56.23,480,2026-06-23 20:49:15
209,C,31.28,190,2026-06-23 20:49:19
210,C,66.69,680,2026-06-23 20:49:20
211,C,27.31,880,2026-06-23 20:49:22
212,V,61.22,380,2026-06-23 20:49:24
213,V,35.14,850,2026-06-23 20:49:27
214,V,10.54,450,2026-06-23 20:49:32
215,V,61.29,990,2026-06-23 20:49:35
216,V,66.96,260,2026-06-23 20:49:38
217,C,66.93,460,2026-06-23 20:49:39
218,C,26.74,480,2026-06-23 20:49:41
219,V,32.52,740,2026-06-23 20:49:46
220,V,15.6,140,2026-06-23 20:49:49
221,V,43.44,180,2026-06-23 20:49:50
222,V,80.06,780,2026-06-23 20:49:51
223,V,43.83,280,2026-06-23 20:49:56
224,V,20.67,980,2026-06-23 20:50:00
225,C,56.82,90,2026-06-23 20:50:04
226,C,80.11,510,2026-06-23 20:50:05
227,C,22.85,700,2026-06-23 20:50:06
228,V,55.11,700,2026-06-23 20:50:09
229,C,24.86,120,2026-06-23 20:50:14
230,C,45.04,630,2026-06-23 20:50:15
231,C,41.01,490,2026-06-23 20:50:18
232,C,61.09,800,2026-06-23 20:50:20
233,C,45.82,800,2026-06-23 20:50:22
234,V,93.43,30,2026-06-23 20:50:27
235,C,94.68,670,2026-06-23 20:50:28
236,C,81.47,1000,2026-06-23 20:50:32
237,V,72.93,560,2026-06-23 20:50:34
238,V,67.02,720,2026-06-23 20:50:37
239,V,61.55,270,2026-06-23 20:50:39
240,C,71.21,730,2026-06-23 20:50:42
241,C,59.06,330,2026-06-23 20:50:43
242,V,72.49,830,2026-06-23 20:50:44
243,C,30.33,710,2026-06-23 20:50:47
244,V,24.96,400,2026-06-23 20:50:48
245,V,44.79,40,2026-06-23 20:50:51
246,C,26.57,200,2026-06-23 20:50:55
247,V,96.4,830,2026-06-23 20:50:58
248,C,46.59,510,2026-06-23 20:51:03
249,V,96.67,190,2026-06-23 20:51:07
250,C,43.0,450,2026-06-23 20:51:11
251,C,82.34,320,2026-06-23 20:51:15
252,C,18.54,210,2026-06-23 20:51:20
253,C,64.12,310,2026-06-23 20:51:25
254,V,64.81,860,2026-06-23 20:51:30
255,V,50.49,700,2026-06-23 20:51:31
256,V,43.18,150,2026-06-23 20:51:35
257,V,94.24,130,2026-06-23 20:51:37
258,V,75.51,880,2026-06-23 20:51:42
259,V,57.25,230,2026-06-23 20:51:47
260,C,72.78,470,2026-06-23 20:51:52
261,C,11.18,90,2026-06-23 20:51:53
262,C,32.13,970,2026-06-23 20:51:55
263,C,25.96,410,2026-06-23 20:51:57
264,C,53.86,310,2026-06-23 20:52:02
265,V,51.77,620,2026-06-23 20:52:05
266,C,77.42,310,2026-06-23 20:52:08
267,V,92.15,350,2026-06-23 20:52:09
268,C,38.47,720,2026-06-23 20:52:14
269,V,49.24,240,2026-06-23 20:52:15
270,V,72.26,930,2026-06-23 20:52:18
271,V,71.49,800,2026-06-23 20:52:22
272,C,52.95,1000,2026-06-23 20:52:23
273,V,47.81,300,2026-06-23 20:52:26
274,C,28.7,70,2026-06-23 20:52:28
275,C,86.63,460,2026-06-23 20:52:33
276,V,79.79,520,2026-06-23 20:52:34
277,C,35.45,280,2026-06-23 20:52:39
278,C,86.31,560,2026-06-23 20:52:41
279,C,84.08,210,2026-06-23 20:52:45
280,C,69.25,720,2026-06-23 20:52:48
281,V,10.37,480,2026-06-23 20:52:52
282,C,38.44,280,2026-06-23 20:52:57
283,C,56.35,120,2026-06-23 20:53:00
284,V,56.81,230,2026-06-23 20:53:01
285,C,32.3,580,2026-06-23 20:53:06
286,C,81.8,920,2026-06-23 20:53:09
287,V,32.63,430,2026-06-23 20:53:12
288,V,81.88,300,2026-06-23 20:53:15
289,C,57.87,920,2026-06-23 20:53:17
290,V,22.94,330,2026-06-23 20:53:19
291,V,47.31,640,2026-06-23 20:53:21
292,V,74.56,470,2026-06-23 20:53:24
293,V,95.77,450,2026-06-23 20:53:25
294,V,75.54,870,2026-06-23 20:53:28
295,V,39.33,850,2026-06-23 20:53:29
296,V,31.4,470,2026-06-23 20:53:32
297,V,10.41,650,2026-06-23 20:53:33
298,C,82.39,990,2026-06-23 20:53:35
299,V,73.4,600,2026-06-23 20:53:40
300,C,18.28,170,2026-06-23 20:53:41
301,V,46.2,520,2026-06-23 20:53:45
302,C,13.88,270,2026-06-23 20:53:49
303,V,89.99,110,2026-06-23 20:53:51
304,C,96.26,30,2026-06-23 20:53:52
305,V,96.19,330,2026-06-23 20:53:55
306,V,87.98,670,2026-06-23 20:53:59
307,V,17.29,350,2026-06-23 20:54:03
308,C,34.34,380,2026-06-23 20:54:05
309,C,83.05,90,2026-06-23 20:54:07
310,V,84.91,50,2026-06-23 20:54:08
311,V,12.02,130,2026-06-23 20:54:12
312,C,52.85,820,2026-06-23 20:54:15
313,C,14.04,150,2026-06-23 20:54:17
314,C,11.24,610,2026-06-23 20:54:22
315,V,44.97,780,2026-06-23 20:54:27
316,C,78.65,480,2026-06-23 20:54:31
317,C,35.38,950,2026-06-23 20:54:35
318,V,72.78,960,2026-06-23 20:54:40
319,V,18.61,640,2026-06-23 20:54:41
320,V,10.28,880,2026-06-23 20:54:44
321,C,41.83,700,2026-06-23 20:54:46
322,C,36.94,480,2026-06-23 20:54:51
323,V,28.87,800,2026-06-23 20:54:55
324,V,11.22,540,2026-06-23 20:54:57
325,C,94.18,610,2026-06-23 20:55:02
326,V,46.18,850,2026-06-23 20:55:06
327,C,21.37,170,2026-06-23 20:55:11
328,V,78.67,630,2026-06-23 20:55:12
329,C,78.46,200,2026-06-23 20:55:17
330,C,85.54,670,2026-06-23 20:55:19
331,V,80.58,250,2026-06-23 20:55:21
332,V,43.83,80,2026-06-23 20:55:25
333,V,89.57,400,2026-06-23 20:55:30
334,V,48.55,300,2026-06-23 20:55:35
335,C,38.42,820,2026-06-23 20:55:37
336,V,79.86,440,2026-06-23 20:55:41
337,C,98.66,40,2026-06-23 20:55:42
338,V,38.26,740,2026-06-23 20:55:44
339,C,35.07,410,2026-06-23 20:55:48
340,C,70.25,590,2026-06-23 20:55:53
341,C,71.86,490,2026-06-23 20:55:55
342,C,30.15,330,2026-06-23 20:55:58
343,V,77.44,400,2026-06-23 20:55:59
344,V,49.51,300,2026-06-23 20:56:02
345,C,48.25,870,2026-06-23 20:56:03
346,V,32.78,870,2026-06-23 20:56:08
347,V,98.14,200,2026-06-23 20:56:09
348,V,26.77,50,2026-06-23 20:56:10
349,C,18.57,470,2026-06-23 20:56:12
350,V,78.88,250,2026-06-23 20:56:16
351,C,41.53,760,2026-06-23 20:56:18
352,V,94.96,300,2026-06-23 20:56:22
353,C,15.77,160,2026-06-23 20:56:26
354,V,31.51,290,2026-06-23 20:56:28
355,V,82.55,550,2026-06-23 20:56:30
356,C,28.78,90,2026-06-23 20:56:34
357,V,87.84,60,2026-06-23 20:56:37
358,C,36.18,770,2026-06-23 20:56:40
359,V,22.57,270,2026-06-23 20:56:41
360,C,85.05,990,2026-06-23 20:56:42
361,V,89.8,310,2026-06-23 20:56:46
362,C,21.8,920,2026-06-23 20:56:48
363,V,30.79,870,2026-06-23 20:56:50
364,C,94.33,400,2026-06-23 20:56:54
365,V,11.05,190,2026-06-23 20:56:59
366,C,74.53,970,2026-06-23 20:57:02
367,V,47.99,160,2026-06-23 20:57:05
368,C,35.6,580,2026-06-23 20:57:07
369,C,93.96,360,2026-06-23 20:57:08
370,V,15.24,190,2026-06-23 20:57:10
371,V,49.61,320,2026-06-23 20:57:15
372,V,72.98,990,2026-06-23 20:57:20
373,C,97.55,930,2026-06-23 20:57:24
374,C,49.48,600,2026-06-23 20:57:25
375,C,83.82,780,2026-06-23 20:57:27
376,C,31.23,180,2026-06-23 20:57:32
377,V,45.14,360,2026-06-23 20:57:37
378,V,66.36,890,2026-06-23 20:57:40
379,V,61.92,810,2026-06-23 20:57:42
380,C,13.33,30,2026-06-23 20:57:46
381,C,84.81,390,2026-06-23 20:57:50
382,C,77.11,100,2026-06-23 20:57:53
383,C,22.72,230,2026-06-23 20:57:55
384,V,72.24,130,2026-06-23 20:57:59
385,C,62.84,530,2026-06-23 20:58:01
386,C,13.46,990,2026-06-23 20:58:04
387,V,16.95,800,2026-06-23 20:58:06
388,V,44.98,670,2026-06-23 20:58:10
389,C,71.04,100,2026-06-23 20:58:12
390,V,61.33,520,2026-06-23 20:58:13
391,C,26.78,380,2026-06-23 20:58:15
392,C,68.79,20,2026-06-23 20:58:20
393,C,51.56,830,2026-06-23 20:58:23
394,V,46.46,980,2026-06-23 20:58:26
395,V,32.68,600,2026-06-23 20:58:29
396,V,67.8,320,2026-06-23 20:58:33
397,C,80.35,580,2026-06-23 20:58:38
398,V,86.75,810,2026-06-23 20:58:40
399,V,55.01,690,2026-06-23 20:58:45
400,C,24.96,380,2026-06-23 20:58:50
401,V,12.16,190,2026-06-23 20:58:54
402,C,34.91,720,2026-06-23 20:58:56
403,C,11.99,970,2026-06-23 20:59:01
404,C,31.26,290,2026-06-23 20:59:05
405,V,94.49,650,2026-06-23 20:59:10
406,C,43.82,760,2026-06-23 20:59:12
407,C,87.42,230,2026-06-23 20:59:16
408,C,28.94,600,2026-06-23 20:59:17
409,C,62.99,220,2026-06-23 20:59:19
410,V,56.52,480,2026-06-23 20:59:20
411,V,78.29,10,2026-06-23 20:59:24
412,V,60.55,120,2026-06-23 20:59:29
413,C,31.67,700,2026-06-23 20:59:30
414,C,85.59,180,2026-06-23 20:59:33
415,C,91.47,940,2026-06-23 20:59:35
416,V,62.27,650,2026-06-23 20:59:38
417,C,60.46,310,2026-06-23 20:59:40
418,C,37.27,790,2026-06-23 20:59:41
419,V,71.71,280,2026-06-23 20:59:42
420,C,22.92,330,2026-06-23 20:59:47
421,C,83.51,180,2026-06-23 20:59:52
422,V,16.53,810,2026-06-23 20:59:55
423,V,84.95,230,2026-06-23 20:59:56
424,V,84.3,680,2026-06-23 20:59:59
425,V,32.36,100,2026-06-23 21:00:00
426,C,98.81,960,2026-06-23 21:00:03
427,V,85.88,100,2026-06-23 21:00:06
428,C,12.53,180,2026-06-23 21:00:11
429,C,60.68,450,2026-06-23 21:00:16
430,C,70.84,420,2026-06-23 21:00:20
431,V,96.44,280,2026-06-23 21:00:21
432,C,96.43,50,2026-06-23 21:00:25
433,C,84.96,380,2026-06-23 21:00:27
434,C,85.65,230,2026-06-23 21:00:28
435,V,85.96,740,2026-06-23 21:00:33
436,V,12.86,980,2026-06-23 21:00:36
437,C,27.68,850,2026-06-23 21:00:38
438,C,46.29,800,2026-06-23 21:00:40
439,V,62.07,460,2026-06-23 21:00:45
440,C,34.88,770,2026-06-23 21:00:48
441,C,16.93,850,2026-06-23 21:00:49
442,C,28.34,170,2026-06-23 21:00:51
443,V,78.47,490,2026-06-23 21:00:55
444,C,44.13,150,2026-06-23 21:00:56
445,V,79.54,620,2026-06-23 21:01:01
446,C,83.83,430,2026-06-23 21:01:05
447,C,50.12,950,2026-06-23 21:01:08
448,V,67.49,320,2026-06-23 21:01:11
449,V,55.37,530,2026-06-23 21:01:14
450,C,42.36,50,2026-06-23 21:01:19
451,C,35.93,210,2026-06-23 21:01:21
452,V,64.48,650,2026-06-23 21:01:24
453,C,69.54,880,2026-06-23 21:01:28
454,C,83.41,830,2026-06-23 21:01:31
455,V,89.41,960,2026-06-23 21:01:33
456,V,63.75,370,2026-06-23 21:01:37
457,C,21.6,750,2026-06-23 21:01:42
458,C,14.7,330,2026-06-23 21:01:44
459,C,79.44,510,2026-06-23 21:01:49
460,V,98.47,390,2026-06-23 21:01:50
461,C,43.63,630,2026-06-23 21:01:51
462,C,72.62,400,2026-06-23 21:01:55
463,C,73.74,840,2026-06-23 21:01:58
464,C,92.92,910,2026-06-23 21:02:00
465,C,34.41,980,2026-06-23 21:02:05
466,C,27.31,910,2026-06-23 21:02:06
467,V,38.12,190,2026-06-23 21:02:11
468,C,69.08,450,2026-06-23 21:02:12
469,C,78.07,110,2026-06-23 21:02:13
470,V,98.88,560,2026-06-23 21:02:14
471,V,82.01,50,2026-06-23 21:02:17
472,C,10.18,280,2026-06-23 21:02:18
473,C,75.04,40,2026-06-23 21:02:23
474,C,83.82,250,2026-06-23 21:02:28
475,C,20.33,1000,2026-06-23 21:02:29
476,C,31.58,960,2026-06-23 21:02:33
477,V,39.01,410,2026-06-23 21:02:37
478,V,24.35,920,2026-06-23 21:02:38
479,C,14.68,320,2026-06-23 21:02:40
480,C,99.73,410,2026-06-23 21:02:42
481,V,52.46,400,2026-06-23 21:02:47
482,V,44.02,850,2026-06-23 21:02:48
483,V,49.8,880,2026-06-23 21:02:53
484,V,83.34,750,2026-06-23 21:02:55
485,C,28.68,780,2026-06-23 21:02:58
486,V,83.63,620,2026-06-23 21:03:03
487,C,78.71,50,2026-06-23 21:03:06
488,V,81.38,210,2026-06-23 21:03:10
489,C,70.14,1000,2026-06-23 21:03:15
490,V,52.74,380,2026-06-23 21:03:17
491,V,57.59,150,2026-06-23 21:03:21
492,C,31.54,240,2026-06-23 21:03:24
493,C,97.87,900,2026-06-23 21:03:28
494,C,69.73,580,2026-06-23 21:03:31
495,V,92.49,590,2026-06-23 21:03:32
496,V,68.97,740,2026-06-23 21:03:34
497,C,82.53,160,2026-06-23 21:03:38
498,V,74.46,890,2026-06-23 21:03:43
499,C,44.91,760,2026-06-23 21:03:45
500,V,98.36,120,2026-06-23 21:03:47
501,V,80.85,730,2026-06-23 21:03:48
502,V,80.3,70,2026-06-23 21:03:49
503,V,45.42,460,2026-06-23 21:03:52
504,C,21.17,790,2026-06-23 21:03:56
505,V,42.09,120,2026-06-23 21:04:00
506,C,39.91,200,2026-06-23 21:04:02
507,V,55.01,260,2026-06-23 21:04:05
508,V,65.02,530,2026-06-23 21:04:10
509,V,82.6,600,2026-06-23 21:04:15
510,V,82.19,850,2026-06-23 21:04:19
511,V,87.69,380,2026-06-23 21:04:23
512,V,53.56,190,2026-06-23 21:04:24
513,V,52.42,170,2026-06-23 21:04:27
514,C,21.87,780,2026-06-23 21:04:28
515,C,81.83,170,2026-06-23 21:04:31
516,C,90.87,630,2026-06-23 21:04:32
517,C,68.72,500,2026-06-23 21:04:35
518,V,52.19,350,2026-06-23 21:04:37
519,V,79.85,810,2026-06-23 21:04:38
520,V,30.52,1000,2026-06-23 21:04:42
521,C,82.39,560,2026-06-23 21:04:47
522,C,89.95,40,2026-06-23 21:04:50
523,C,77.96,600,2026-06-23 21:04:55
524,C,22.31,270,2026-06-23 21:04:56
525,C,61.14,190,2026-06-23 21:04:59
526,C,60.06,940,2026-06-23 21:05:03
527,C,18.63,90,2026-06-23 21:05:08
528,C,51.27,250,2026-06-23 21:05:12
529,V,70.16,310,2026-06-23 21:05:17
530,V,92.84,820,2026-06-23 21:05:19
531,C,19.01,730,2026-06-23 21:05:22
532,V,70.13,390,2026-06-23 21:05:25
533,C,90.59,570,2026-06-23 21:05:27
534,V,33.46,970,2026-06-23 21:05:29
535,C,97.87,750,2026-06-23 21:05:31
536,V,26.44,660,2026-06-23 21:05:32
537,C,47.35,310,2026-06-23 21:05:35
538,C,71.64,920,2026-06-23 21:05:36
539,C,39.62,800,2026-06-23 21:05:40
540,V,80.77,390,2026-06-23 21:05:44
541,C,62.26,750,2026-06-23 21:05:47
542,C,24.38,310,2026-06-23 21:05:49
543,V,36.08,370,2026-06-23 21:05:54
544,V,31.03,140,2026-06-23 21:05:58
545,C,69.34,240,2026-06-23 21:06:03
546,V,60.48,900,2026-06-23 21:06:08
547,V,63.25,450,2026-06-23 21:06:11
548,V,82.23,190,2026-06-23 21:06:15
549,V,52.89,410,2026-06-23 21:06:17
550,C,30.48,210,2026-06-23 21:06:18
551,C,57.51,940,2026-06-23 21:06:19
552,C,66.49,590,2026-06-23 21:06:20
553,V,64.77,590,2026-06-23 21:06:25
554,V,46.95,920,2026-06-23 21:06:30
555,C,82.71,800,2026-06-23 21:06:34
556,V,59.24,90,2026-06-23 21:06:36
557,C,36.52,750,2026-06-23 21:06:40
558,V,39.41,630,2026-06-23 21:06:44
559,V,83.02,570,2026-06-23 21:06:48
560,V,29.47,300,2026-06-23 21:06:50
561,V,48.9,950,2026-06-23 21:06:51
562,C,44.88,270,2026-06-23 21:06:54
563,V,77.55,750,2026-06-23 21:06:59
564,V,70.56,40,2026-06-23 21:07:02
565,C,54.39,610,2026-06-23 21:07:04
566,V,82.89,30,2026-06-23 21:07:09
567,C,71.71,40,2026-06-23 21:07:10
568,C,98.64,890,2026-06-23 21:07:11
569,C,91.88,630,2026-06-23 21:07:12
570,V,38.83,890,2026-06-23 21:07:17
571,C,66.08,720,2026-06-23 21:07:19
572,V,57.46,160,2026-06-23 21:07:24
573,C,40.9,290,2026-06-23 21:07:28
574,C,81.11,350,2026-06-23 21:07:33
575,V,29.42,310,2026-06-23 21:07:35
576,C,65.19,90,2026-06-23 21:07:39
577,V,84.18,930,2026-06-23 21:07:40
578,C,97.69,650,2026-06-23 21:07:41
579,C,94.01,360,2026-06-23 21:07:43
580,V,50.79,320,2026-06-23 21:07:46
581,C,77.9,70,2026-06-23 21:07:50
582,C,96.96,480,2026-06-23 21:07:51
583,C,98.46,50,2026-06-23 21:07:55
584,V,61.95,130,2026-06-23 21:08:00
585,V,97.78,280,2026-06-23 21:08:01
586,V,32.01,740,2026-06-23 21:08:02
587,V,62.98,910,2026-06-23 21:08:03
588,C,32.88,330,2026-06-23 21:08:06
589,V,86.92,330,2026-06-23 21:08:09
590,V,52.15,980,2026-06-23 21:08:13
591,V,43.03,460,2026-06-23 21:08:16
592,V,72.99,640,2026-06-23 21:08:17
593,C,87.6,810,2026-06-23 21:08:20
594,V,83.32,400,2026-06-23 21:08:21
595,C,99.35,20,2026-06-23 21:08:25
596,V,13.28,380,2026-06-23 21:08:30
597,C,73.15,530,2026-06-23 21:08:33
598,V,40.42,210,2026-06-23 21:08:34
599,V,99.39,690,2026-06-23 21:08:36
600,C,66.4,490,2026-06-23 21:08:38
601,C,91.8,590,2026-06-23 21:08:39
602,V,32.57,620,2026-06-23 21:08:44
603,C,35.81,150,2026-06-23 21:08:47
604,C,10.77,570,2026-06-23 21:08:50
605,V,79.77,820,2026-06-23 21:08:53
606,C,34.9,360,2026-06-23 21:08:55
